id,name,google_place_id,address,latitude,longitude,independent,coffee_quality,seating,quiet,outdoor_seating,laptop_friendly,meeting_suitability,google_rating,google_review_count
battersea_brew,Battersea Brew,ChIJ89NO15sFdkgR1xmcizxKzAM,"141 Battersea High St, London SW11 3JS, UK",51.470929,-0.1728167,TRUE,,,,TRUE,,,4.9,202
the_coffee_community,The Coffee Community,ChIJyUXtfsIFdkgRw46OUNOTxSQ,"18 Northcote Rd, London SW11 1NX, UK",51.4601068,-0.16693529999999998,TRUE,,,,,,,5,237
nostos_coffee_battersea,Nostos Coffee Battersea,ChIJoe9JnRUFdkgRl4xa0jriGJI,"Next to, Battersea Park Railway Station, 10a Battersea Park Rd, Nine Elms, London SW8 4FF, UK",51.477041299999996,-0.146927,TRUE,,,,TRUE,,,4.7,596
sendero_specialty_coffee_putney,Sendero Specialty Coffee Putney,ChIJR06SPnEPdkgRLSL3GxhQMvo,"161-163 Putney High St, London SW15 1RT, UK",51.461300599999994,-0.21650419999999998,TRUE,,,,,,,4.5,107
tried_and_true,Tried & True,ChIJ2RjP0AQPdkgRL1h35uffT0I,"279 Upper Richmond Rd, London SW15 6SP, UK",51.4627938,-0.2263058,TRUE,,,,TRUE,,,4.5,562
story_coffee,Story Coffee,ChIJBYsxFZAFdkgRyIhgxmST2aI,"115 St John's Hl, London SW11 1SZ, UK",51.461031,-0.174409,TRUE,,,,TRUE,,,4.3,734
hopper_coffee_wandsworth,Hopper Coffee Wandsworth,ChIJ3a3d5ikPdkgROE3ksPtbBrk,"177a Wandsworth High St, London SW18 4JE, UK",51.4570635,-0.1971852,TRUE,,,,,,,4.7,355
academy_pantry,Academy Pantry,ChIJy4nuWwAFdkgR8IEajJb-9p4,"198, 140 A3205, London SW11 3TZ, UK",51.466642799999995,-0.1789056,TRUE,,,,,,,4.6,11
adada_cafe,Adada Cafe,ChIJBX1WtxgPdkgRIPdyIl93XnE,"118A Upper Richmond Rd, London SW15 2SP, UK",51.459903399999995,-0.21199479999999998,TRUE,,,,,,,5,118
a_l_coffee_roasters,A. L. Coffee Roasters,ChIJE5ZboRgFdkgRVK4CMAP3HdM,"52, 56 Standard Rd, London NW10 6EU, UK",51.5278301,-0.2657618,TRUE,,,,,,,4.9,18
snapshot_coffee,Snapshot Coffee,ChIJYwNZHT0FdkgR019Wjancfds,"338 Balham High Rd, Tooting Bec, London SW17 7AA, UK",51.4358393,-0.1596071,TRUE,,,,,,,4.9,49
green_monkey,Green Monkey,ChIJTctnst4FdkgR-NZLFTd29EI,"2d Tooting Bec Rd, Tooting Bec, London SW17 8BD, UK",51.4353708,-0.1591398,TRUE,,,,,,,4.6,795
the_lab93_coffee,The Lab93 Coffee,ChIJyxf-_2YFdkgR5GQRG7ngV2Y,"4 Balham Station Rd, London SW12 9SG, UK",51.4432687,-0.1519111,TRUE,,,,,,,4.7,168
earlsfield_grocer,Earlsfield Grocer,ChIJwR9BdGoPdkgRJFNlXF22RCc,"383 Garratt Ln, London SW18 4SL, UK",51.444977599999994,-0.1892055,TRUE,,,,TRUE,,,4.9,108
artisan_coffee,Artisan Coffee,ChIJW0a-n_YFdkgR7XdjA6YeZIk,"12 Regent Street Saint James's, London SW1Y 4PE, UK",51.508604299999995,-0.133517,TRUE,,,,,,,4.8,516
