id,name,google_place_id,address,latitude,longitude,independent,coffee_quality,seating,quiet,outdoor_seating,laptop_friendly,meeting_suitability,google_rating,google_review_count
battersea_brew,Battersea Brew,,,,,TRUE,,,,,,,,
the_coffee_community,The Coffee Community,,,,,TRUE,,,,,,,,
nostos_coffee_battersea,Nostos Coffee Battersea,,,,,TRUE,,,,,,,,
sendero_specialty_coffee_putney,Sendero Specialty Coffee Putney,,,,,TRUE,,,,,,,,
tried_and_true,Tried & True,,,,,TRUE,,,,,,,,
story_coffee,Story Coffee,,,,,TRUE,,,,,,,,
hopper_coffee_wandsworth,Hopper Coffee Wandsworth,,,,,TRUE,,,,,,,,
academy_pantry,Academy Pantry,,,,,TRUE,,,,,,,,
adada_cafe,Adada Cafe,,,,,TRUE,,,,,,,,
a_l_coffee_roasters,A. L. Coffee Roasters,,,,,TRUE,,,,,,,,
snapshot_coffee,Snapshot Coffee,,,,,TRUE,,,,,,,,
green_monkey,Green Monkey,,,,,TRUE,,,,,,,,
the_lab93_coffee,The Lab93 Coffee,,,,,TRUE,,,,,,,,
earlsfield_grocer,Earlsfield Grocer,,,,,TRUE,,,,,,,,
artisan_coffee,Artisan Coffee,,,,,TRUE,,,,,,,,
carbon_kopi,Carbon Kopi,,,,,TRUE,,,,,,,,
half_moon_cafe,Half Moon Cafe,,,,,TRUE,,,,,,,,
elder_press_cafe,Elder Press Cafe,,,,,TRUE,,,,,,,,
wild_thyme_london,Wild Thyme London,,,,,TRUE,,,,,,,,
deluxe_coffeeworks_roastery_and_espresso_bar,Deluxe Coffeeworks Roastery & Espresso Bar,,,,,TRUE,,,,,,,,
21_grams_fulham,21 Grams Fulham,,,,,TRUE,,,,,,,,
blue_door_coffee,Blue Door Coffee,,,,,TRUE,,,,,,,,
beanut_roastery,Beanut Roastery,,,,,TRUE,,,,,,,,
mabelle_s,Mabelle's,,,,,TRUE,,,,,,,,
maicafe,MAICAFE,,,,,TRUE,,,,,,,,
glasshouse_coffee,Glasshouse Coffee,,,,,TRUE,,,,,,,,
electric_coffee_co,Electric Coffee Co,,,,,TRUE,,,,,,,,
amoret_coffee,Amoret Coffee,,,,,TRUE,,,,,,,,
coffee_plant,Coffee Plant,,,,,TRUE,,,,,,,,
hermanos_colombian_coffee_roasters,Hermanos Colombian Coffee Roasters,,,,,TRUE,,,,,,,,
lift_coffee,LIFT Coffee,,,,,TRUE,,,,,,,,
guillam_coffee_house,Guillam Coffee House,,,,,TRUE,,,,,,,,
the_hatch_specialty_coffee,The Hatch Specialty Coffee,,,,,TRUE,,,,,,,,
kuro_coffee,KURO Coffee,,,,,TRUE,,,,,,,,
equivalence_coffee,Equivalence Coffee,,,,,TRUE,,,,,,,,
toki,Toki,,,,,TRUE,,,,,,,,
filo_coffee,Filo Coffee,,,,,TRUE,,,,,,,,
laura_todd_artisanal_cookies_and_specialty_coffee,Laura Todd - Artisanal Cookies & Specialty Coffee,,,,,TRUE,,,,,,,,
party_at_pavilion_by_the_roasting_party,Party At Pavilion by The Roasting Party,,,,,TRUE,,,,,,,,
stillroom_chelsea,Stillroom Chelsea,,,,,TRUE,,,,,,,,
the_blend_king_s_road,The Blend - King's Road,,,,,TRUE,,,,,,,,
kaffeine,Kaffeine,,,,,TRUE,,,,,,,,
attendant_coffee_roasters_fitzrovia,Attendant Coffee Roasters Fitzrovia,,,,,TRUE,,,,,,,,
workshop_coffee_marylebone,Workshop Coffee Marylebone,,,,,TRUE,,,,,,,,
special_guests,Special Guests,,,,,TRUE,,,,,,,,
h_r_higgins,H.R. Higgins,,,,,TRUE,,,,,,,,
queens_of_mayfair,Queens of Mayfair,,,,,TRUE,,,,,,,,
nostos_coffee_st_james_s,Nostos Coffee St James's,,,,,TRUE,,,,,,,,
guillam_coffee_house_st_james,Guillam Coffee House - St James,,,,,TRUE,,,,,,,,
nowhere_dark_arts_aries,Nowhere - Dark Arts @ Aries,,,,,TRUE,,,,,,,,
hideaway_coffee_house,Hideaway Coffee House,,,,,TRUE,,,,,,,,
oma_coffee_roaster,oma Coffee Roaster,,,,,TRUE,,,,,,,,
treelogy_speciality_coffee_paddington,Treelogy Speciality Coffee Paddington,,,,,TRUE,,,,,,,,
so_cafe_london,SO Cafe London,,,,,TRUE,,,,,,,,
abol_coffee,Abol Coffee,,,,,TRUE,,,,,,,,
rosslyn_coffee_leadenhall_market,Rosslyn Coffee Leadenhall Market,,,,,TRUE,,,,,,,,
rosslyn_coffee_liverpool_street_station,Rosslyn Coffee Liverpool Street Station,,,,,TRUE,,,,,,,,
daku_coffee_monument,Daku Coffee Monument,,,,,TRUE,,,,,,,,
the_fleet_street_press,The Fleet Street Press,,,,,TRUE,,,,,,,,
tattle_coffee_house_st_pauls,Tattle Coffee House - St Pauls,,,,,TRUE,,,,,,,,
curators_coffee_studio,Curators Coffee Studio,,,,,TRUE,,,,,,,,
colonna_and_small_s,Colonna & Small's,,,,,TRUE,,,,,,,,
nine_bars_coffee,Nine Bars Coffee,,,,,TRUE,,,,,,,,
oba_coffee,OBA Coffee,,,,,TRUE,,,,,,,,
newton_s_coffee,Newton's Coffee,,,,,TRUE,,,,,,,,
cyb_coffee_haus,CYB Coffee Haus,,,,,TRUE,,,,,,,,
grey_crane,Grey Crane,,,,,TRUE,,,,,,,,
clerkenwell_kiosk,Clerkenwell Kiosk,,,,,TRUE,,,,,,,,
sendero_specialty_coffee_brixton,Sendero Specialty Coffee Brixton,,,,,TRUE,,,,,,,,
federation_coffee,Federation Coffee,,,,,TRUE,,,,,,,,
stoop_coffee_specialty_coffee,Stoop Coffee - Specialty Coffee,,,,,TRUE,,,,,,,,
naked_rabbit,Naked Rabbit,,,,,TRUE,,,,,,,,
sw_camel_coffee_shop,SW Camel Coffee Shop,,,,,TRUE,,,,,,,,
the_coffee_cabin,The Coffee Cabin,,,,,TRUE,,,,,,,,
calico_coffee,Calico Coffee,,,,,TRUE,,,,,,,,
kennington_lane_cafe,Kennington Lane Cafe,,,,,TRUE,,,,,,,,
the_kennington_coffee_shop,The Kennington Coffee Shop,,,,,TRUE,,,,,,,,
perks_and_white_coffee_herne_hill_station,"Perks & White coffee, Herne Hill Station",,,,,TRUE,,,,,,,,
annapurna_cafe,Annapurna Cafe,,,,,TRUE,,,,,,,,
martil_cafe_west_norwood,Martil Cafe West Norwood,,,,,TRUE,,,,,,,,
cayena_coffee_roasters,Cayena Coffee Roasters,,,,,TRUE,,,,,,,,
sipp,Sipp,,,,,TRUE,,,,,,,,
beam,Beam,,,,,TRUE,,,,,,,,
devotion_coffee_angel,Devotion Coffee Angel,,,,,TRUE,,,,,,,,
the_roasting_shed,The Roasting Shed,,,,,TRUE,,,,,,,,
