id,name,google_place_id,address,latitude,longitude,independent,coffee_quality,seating,quiet,outdoor_seating,laptop_friendly,meeting_suitability,google_rating,google_review_count,scoring_evidence
battersea_brew,Battersea Brew,ChIJ89NO15sFdkgR1xmcizxKzAM,"141 Battersea High St, London SW11 3JS, UK",51.470929,-0.1728167,TRUE,8,,,TRUE,,,4.9,202,"Repeated positive reviews describe the coffee as great, amazing, excellent, and consistently high quality, including praise for an excellent Colombian light roast. The cafe is described as cosy and welcoming, but there is insufficient evidence about seating capacity, noise levels, laptop use, or suitability for meetings."
the_coffee_community,The Coffee Community,ChIJyUXtfsIFdkgRw46OUNOTxSQ,"18 Northcote Rd, London SW11 1NX, UK",51.4601068,-0.16693529999999998,TRUE,8,,,,,,5,237,"Coffee quality is strongly supported by repeated positive reviews, including descriptions such as “absolutely delicious,” “two perfect cortados,” and “one of the best coffees we’ve tried in London.” Reviews also praise friendly service, but provide no evidence about seating, noise, laptop use, or suitability for meetings."
nostos_coffee_battersea,Nostos Coffee Battersea,ChIJoe9JnRUFdkgRl4xa0jriGJI,"Next to, Battersea Park Railway Station, 10a Battersea Park Rd, Nine Elms, London SW8 4FF, UK",51.477041299999996,-0.146927,TRUE,8,3,3,TRUE,,3,4.7,596,"Coffee quality is strongly praised across several reviews, including exceptional flat whites, pour-over attention to detail, and specialty coffee expertise. However, seating is explicitly described as limited, with reports of the cafe being packed, busy, and difficult to move around in; the interior ambience was also described as lacking. This suggests a poor environment for a seated meeting. There is insufficient evidence about laptop suitability."
sendero_specialty_coffee_putney,Sendero Specialty Coffee Putney,ChIJR06SPnEPdkgRLSL3GxhQMvo,"161-163 Putney High St, London SW15 1RT, UK",51.461300599999994,-0.21650419999999998,TRUE,8,7,7,,TRUE,8,4.5,107,"Reviews provide clear positive evidence for coffee quality, including “excellent coffee,” “artisan style” preparation, and one reviewer calling it the best coffee they had in London, though one Americano was slightly sour. Seating is described as relaxing, with a modern, bright, inviting back room; it was also reported as nice and empty early on. One customer stayed to work and would return, which supports laptop suitability, although explicit laptop rules are unclear. The relaxing seating and generally calm descriptions suggest it is good for meetings, but there is not enough evidence to rate it as exceptionally quiet or spacious."
tried_and_true,Tried & True,ChIJ2RjP0AQPdkgRL1h35uffT0I,"279 Upper Richmond Rd, London SW15 6SP, UK",51.4627938,-0.2263058,TRUE,7,,,TRUE,,7,4.5,562,"Coffee is praised as excellent in one review and mentioned positively in multiple brunch reviews, though another reviewer found it only so-so. The cafe is explicitly used for breakfast meetings, with friendly staff and a welcoming atmosphere, supporting good meeting suitability. There is mention of outdoor seating, but no clear evidence about total seating capacity, noise levels, or laptop use."
story_coffee,Story Coffee,ChIJBYsxFZAFdkgRyIhgxmST2aI,"115 St John's Hl, London SW11 1SZ, UK",51.461031,-0.174409,TRUE,9,,,TRUE,FALSE,,4.3,734,"Coffee quality has unusually strong positive evidence: one reviewer called the espresso very good, another described the coffee as lovely, another said it was the best flat white they had had in the UK, and a long-term customer called it the best coffee shop in London. One review explicitly mentions a no-laptop rule, so it is not laptop-friendly. There is insufficient evidence to score seating, noise level, or suitability for meetings; the reviews do not establish how spacious, quiet, or conversation-friendly the cafe is."
hopper_coffee_wandsworth,Hopper Coffee Wandsworth,ChIJ3a3d5ikPdkgROE3ksPtbBrk,"177a Wandsworth High St, London SW18 4JE, UK",51.4570635,-0.1971852,TRUE,8,,,,,,4.7,355,"Multiple reviews give clear, consistent praise for the coffee, including it being “brilliant,” among the best recently had, and consistently high in standard. The evidence does not describe seating capacity, noise levels, laptop use, or suitability for meetings."
academy_pantry,Academy Pantry,ChIJy4nuWwAFdkgR8IEajJb-9p4,"198, 140 A3205, London SW11 3TZ, UK",51.466642799999995,-0.1789056,TRUE,7,8,7,,,7,4.6,11,"Reviews describe good coffee, a calm atmosphere, lots of space, and a lovely overall setting with friendly staff. This supports strong seating and a generally conversation-friendly meeting environment. There is no clear evidence about laptop use."
adada_cafe,Adada Cafe,ChIJBX1WtxgPdkgRIPdyIl93XnE,"118A Upper Richmond Rd, London SW15 2SP, UK",51.459903399999995,-0.21199479999999998,TRUE,7,,,,,,5,118,"Reviews give clear positive evidence for drinks and coffee, including “best coffee shop,” “good coffee,” and a well-regarded matcha latte. The cafe is also described as having a lovely or nice atmosphere and friendly service. However, there is no specific evidence about seating capacity, noise levels, laptop use, or suitability for meetings."
a_l_coffee_roasters,A. L. Coffee Roasters,ChIJE5ZboRgFdkgRVK4CMAP3HdM,"52, 56 Standard Rd, London NW10 6EU, UK",51.5278301,-0.2657618,TRUE,8,,,,,,4.9,18,"Repeated reviews describe the coffee as great, delicious, and notably good, including praise for the cappuccino and Colombian coffee. There is no clear evidence about seating capacity, noise levels, laptop use, or suitability for a sit-down meeting."
